Glory to God song
Gloire à Dieu chanson
Madame Adele Kossike
mɛ̃	mó	ɛ̃́ŋɡuhá	se	hwãnthe
mɛn	mó	ńguhá	se	Hwanthe
1sg	take	glory	give	lord
1sg	prendre	gloire	donner	Dieu
I give glory to God
Je rends gloire à Dieu


á-ká	khúmbrɛ̃	mã́	nri	nɛ	hwa
áká	khúúnbrɛn	maán	nri	nkɛ	hwa
cm-time	all	fut	praise	3sg	part
temps	tout	AUX+FUT	louer	obj.3sg	part.tv
I will praise him everyday
Je vais le louer chaque jour


mɛ̃	mó	ɛ̃́-ŋɡuhá	se	hwãnthe
mɛn	mó	ńguhá	se	Hwanthe
1sg	take	glory	give	lord
1sg	prendre	gloire	donner	Dieu
I give glory to God
Je rends gloire à Dieu


á-ká	khúmbrɛ̃	mã́	nri	nɛ	hwa
áká	khúúnbrɛn	maán	nri	nkɛ	hwa
cm-time	all	fut	praise	3sg	part
temps	tout	AUX+FUT	louer	obj.2sg	part.tv
I will praise him everyday
Je vais le louer chaque jour


mɛ̃́	nɛ̃	lé	hwãnthe	olí	mɛ̃	ɛ̃́-ŋɡuhá
mɛɛ́n	nɛn	lé	Hwánthe	olí	mɛn	nguhá
1sg	want	that	lord	cop	1sg	glory
1sg	vouloir	que	Dieu		poss.1sg	gloire
I want God to be my glory
Je veux que le Seigneur soit ma gloire


hɔ̃́	khɛ̃́	ɔ̃́	ni	thɛ̃-ɓwá-mã́
hɔ́n	khɛ́n	ɔ́n	ni	nthɛ́nbhwámán
2pl	rel	2pl	cop	good.person
	que	2pl		débonnaires
You are the good people
Vous qui êtes des débonnaires


á	ɲɔ̃́	sálé	ɔ̃́	ɲé	mɛ̃	ɓwé
á	yɔ́n	sâlée	ɔ́n	yé	mɛn	bhwé
3.inan	good	that	2pl	hear	1sg	words
pr	bon	que	2pl	écouter	poss.1sg	mots
Listen to what I say
écoutez ce que je dis


á	ɲɔ̃́	sálé	ɔ̃́	ní	phɔ́há
á	yɔn	sâlée	ɔ́n	ní	phɔ̂há
3.inan	good	that	2pl	cop	happiness
pr	bon	que	2pl	etre	joie
and be joyous
et soyez dans la joie

